club_decade_player_id,club_decade_id,team_id,team_name,decade,player_id,player_name,citizenship,position,main_position,game_position,seasons_count,rows_count,goals,assists,clean_sheets,goals_conceded,yellow_cards,direct_red_cards,penalty_goals,minutes_played,raw_score,local_rating,global_rating,global_percentile,hidden_modifier,effective_global_rating
10690_zorya_lugansk_2000s_27126,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,27126,Igor Bazhan (27126),Ukraine,Goalkeeper,Goalkeeper,GK,1,1,0.0,0,2,18,1,0,0,1260.0,6.0,56.6,58.6,0.36901611739235024,1.0,58.6
10690_zorya_lugansk_2000s_58252,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58252,Sergiy Siminin (58252),Ukraine,Defender - Right-Back,Defender,RB,2,2,0.0,0,0,0,0,0,0,0.0,6.0,56.6,58.6,0.36901611739235024,1.0,58.6
10690_zorya_lugansk_2000s_98472,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,98472,Taras Duray (98472),Ukraine,Defender - Centre-Back,Defender,CB,2,2,0.0,0,0,0,1,0,0,0.0,6.0,56.6,58.6,0.36901611739235024,1.0,58.6
10690_zorya_lugansk_2000s_111072,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,111072,Vladyslav Ogirya (111072),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,2,2,0.0,0,0,0,0,0,0,0.0,6.0,56.6,58.6,0.36901611739235024,1.0,58.6
10690_zorya_lugansk_2000s_24008,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,24008,Rubén Gomez (24008),Argentina,Midfield - Central Midfield,Midfield,CM,1,1,0.0,0,0,0,1,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_25881,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,25881,Maksim Aristarkhov (25881),Russia,Attack - Centre-Forward,Attack,FW,1,1,0.0,0,0,0,0,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_57997,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,57997,Sergiy Dmytriev (57997),Ukraine  Russia,Attack - Left Winger,Attack,LM,1,1,0.0,0,0,0,1,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_58102,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58102,Anatoliy Pylypenko (58102),Ukraine,Goalkeeper,Goalkeeper,GK,1,1,0.0,0,0,0,0,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_58402,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58402,Maksym Kovalyov (58402),Ukraine,Defender - Centre-Back,Defender,CB,1,1,0.0,0,0,0,2,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_59249,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,59249,Ivan Matyazh (59249),Ukraine,Midfield - Central Midfield,Midfield,CM,1,1,0.0,0,0,0,0,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_91714,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,91714,Oleg Shevchenko (91714),Ukraine,Defender - Centre-Back,Defender,CB,1,1,0.0,0,0,0,0,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_91786,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,91786,Ivan Pogorelov (91786),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,1,1,0.0,0,0,0,0,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_94923,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,94923,Igor Chaykovskyi (94923),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,1,1,0.0,0,0,0,2,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2000s_94931,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,94931,Vitaliy Vitsenets (94931),Ukraine  Russia,Midfield - Central Midfield,Midfield,CM,1,1,0.0,0,0,0,4,0,0,0.0,3.0,53.3,51.2,0.16754871301419294,1.0,51.2
10690_zorya_lugansk_2010s_59896,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,59896,Dmytro Khomchenovskyi (59896),Ukraine,Midfield - Left Midfield,Midfield,LM,8,10,22.0,14,0,0,13,0,0,5360.0,190.0,95.0,91.4,0.9885734904979553,1.0,91.4
10690_zorya_lugansk_2010s_99863,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,99863,Pylyp Budkivskyi (99863),Ukraine,Attack - Centre-Forward,Attack,FW,5,6,23.0,4,0,0,9,0,0,1512.0,144.0,84.1,89.0,0.9790714457541496,1.0,89.0
10690_zorya_lugansk_2010s_122088,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,122088,Artem Gromov (122088),Ukraine,Attack - Left Winger,Attack,LM,3,6,16.0,12,0,0,6,0,0,2890.0,137.0,82.4,88.7,0.9776280971854703,1.0,88.7
10690_zorya_lugansk_2010s_203074,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,203074,Ivan Petryak (203074),Ukraine,Attack - Left Winger,Attack,LM,6,6,9.0,12,0,0,9,0,0,2134.0,111.0,76.3,86.6,0.9648785181621361,1.0,86.6
10690_zorya_lugansk_2010s_423606,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,423606,Bogdan Lednev (423606),Ukraine,Midfield - Attacking Midfield,Midfield,AM,2,4,12.0,5,0,0,10,0,1,788.0,86.0,70.4,83.9,0.9487611258118835,1.0,83.9
10690_zorya_lugansk_2010s_248932,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,248932,Vladyslav Kochergin (248932),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,3,6,8.0,8,0,0,7,0,0,1432.0,81.0,69.2,83.5,0.943348568679336,1.0,83.5
10690_zorya_lugansk_2010s_59269,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,59269,Lucky Idahor (59269),Nigeria,Attack - Centre-Forward,Attack,FW,3,3,6.0,10,0,0,4,0,0,858.0,79.0,68.7,83.2,0.9403415924945875,1.0,83.2
10690_zorya_lugansk_2010s_207877,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,207877,Ruslan Malinovskyi (207877),Ukraine,Midfield - Attacking Midfield,Midfield,AM,3,3,7.0,6,0,0,11,0,1,1753.0,68.0,66.1,82.1,0.9263892229973538,1.0,82.1
10690_zorya_lugansk_2010s_210689,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,210689,Vladyslav Kabaev (210689),Ukraine,Attack - Left Winger,Attack,LM,3,6,8.0,5,0,0,8,0,0,1922.0,68.0,66.1,82.1,0.9263892229973538,1.0,82.1
10690_zorya_lugansk_2010s_366450,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,366450,Iury Castilho (366450),Brazil,Attack - Centre-Forward,Attack,FW,1,2,11.0,2,0,0,13,0,1,353.0,66.0,65.6,81.9,0.9237430839547751,1.0,81.9
10690_zorya_lugansk_2010s_80312,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,80312,Mykyta Shevchenko (80312),Ukraine,Goalkeeper,Goalkeeper,GK,5,7,0.0,0,32,57,7,0,0,6312.0,63.0,64.9,81.4,0.9180899687274476,1.0,81.4
10690_zorya_lugansk_2010s_59973,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,59973,Vitaliy Vernydub (59973),Ukraine,Defender - Centre-Back,Defender,CB,6,8,7.0,2,0,0,42,0,0,5647.0,58.0,63.7,80.5,0.9067837382727929,1.0,80.5
10690_zorya_lugansk_2010s_157373,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,157373,Vladlen Yurchenko (157373),Ukraine,Midfield - Attacking Midfield,Midfield,AM,1,2,7.0,5,0,0,5,0,5,752.0,58.0,63.7,80.5,0.9067837382727929,1.0,80.5
10690_zorya_lugansk_2010s_277777,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,277777,Andriy Totovytskyi (277777),Ukraine,Midfield - Attacking Midfield,Midfield,AM,2,2,7.0,4,0,0,2,0,0,491.0,57.0,63.5,80.4,0.9043781573249939,1.0,80.4
10690_zorya_lugansk_2010s_213976,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,213976,Igor Kharatin (213976),Ukraine  Hungary,Midfield - Defensive Midfield,Midfield,CDM,3,4,7.0,3,0,0,18,0,1,1631.0,56.0,63.3,80.1,0.9016117392350252,1.0,80.1
10690_zorya_lugansk_2010s_107803,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,107803,Maksym Bilyi (107803),Ukraine,Defender - Centre-Back,Defender,CB,6,7,3.0,5,0,0,12,1,0,2611.0,51.5,62.2,79.4,0.8928313687755594,1.0,79.4
10690_zorya_lugansk_2010s_94923,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,94923,Igor Chaykovskyi (94923),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,8,10,3.0,3,0,0,31,0,0,3510.0,51.0,62.1,79.3,0.8909069040173202,1.0,79.3
10690_zorya_lugansk_2010s_86931,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,86931,Yevgen Opanasenko (86931),Ukraine,Defender - Right-Back,Defender,RB,4,5,7.0,1,0,0,7,1,0,3966.0,48.5,61.5,78.7,0.8833293240317537,1.0,78.7
10690_zorya_lugansk_2010s_373302,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,373302,Silas (373302),Brazil,Midfield - Defensive Midfield,Midfield,CDM,2,4,5.0,4,0,0,14,0,1,1536.0,47.0,61.1,78.3,0.878277604041376,1.0,78.3
10690_zorya_lugansk_2010s_41885,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,41885,Sergiy Silyuk (41885),Ukraine,Attack - Centre-Forward,Attack,FW,3,3,5.0,3,0,0,4,0,0,833.0,46.0,60.9,78.0,0.8755111859514073,1.0,78.0
10690_zorya_lugansk_2010s_259461,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,259461,Paulinho (259461),Brazil  Bulgaria,Attack - Left Winger,Attack,LM,3,3,4.0,4,0,0,2,0,0,861.0,45.0,60.7,77.7,0.8707000240558095,1.0,77.7
10690_zorya_lugansk_2010s_366729,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,366729,Nazariy Rusyn (366729),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,5.0,4,0,0,2,0,0,188.0,44.0,60.4,77.3,0.8663699783497715,1.0,77.3
10690_zorya_lugansk_2010s_448854,10690_zorya_lugansk_2010s,10690,Zorya Lugansk,2010s,448854,Emmanuel Dennis (448854),Nigeria,Attack - Centre-Forward,Attack,FW,1,1,6.0,1,0,0,3,0,0,254.0,37.0,58.8,75.6,0.8391869136396439,1.0,75.6
