player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Vitaliy Levchenko,vitaliy levchenko,Arsenal Kyiv ( -2019),2000s,core_squad,Medium,Midfielder,CM,,,,7,21.0,63.8,Relative core_squad rating at the 67% percentile of the same-position group (11 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8082537,9007_arsenal_kyiv__2019_2000s_8082537
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,1990s,core_squad,High,Goalkeeper,GK,0,,,1,3.0,73.2,Relative core_squad rating at the 73% percentile of the overall club-decade pool (14 players); confidence=High; reconstructed statistics were too incomplete for rating,8221215,6992_chornomorets_odesa_1990s_8221215
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,2000s,core_squad,High,Goalkeeper,GK,0,,,10,30.0,68.5,Relative core_squad rating at the 73% percentile of the overall club-decade pool (25 players); confidence=High; reconstructed statistics were too incomplete for rating,8221215,6992_chornomorets_odesa_2000s_8221215
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,2010s,core_squad,High,Goalkeeper,GK,0,,,3,9.0,70.2,Relative core_squad rating at the 73% percentile of the same-position group (4 players); confidence=High; reconstructed statistics were too incomplete for rating,8221215,6992_chornomorets_odesa_2010s_8221215
Vitaliy Kolesnichenko,vitaliy kolesnichenko,Chornomorets Odesa,1990s,core_squad,High,Midfielder,CM,,,,,,69.9,Relative core_squad rating at the 73% percentile of the same-position group (3 players); confidence=High,8906036,6992_chornomorets_odesa_1990s_8906036
Vitaliy Kolesnichenko,vitaliy kolesnichenko,Chornomorets Odesa,2000s,core_squad,High,Midfielder,CM,,,,,,68.5,Relative core_squad rating at the 73% percentile of the overall club-decade pool (25 players); confidence=High,8906036,6992_chornomorets_odesa_2000s_8906036
Yuriy Bukel,yuriy bukel,Chornomorets Odesa,1990s,core_squad,High,Defender,CB,,,,,,73.2,Relative core_squad rating at the 73% percentile of the overall club-decade pool (14 players); confidence=High,8958356,6992_chornomorets_odesa_1990s_8958356
Yuriy Bukel,yuriy bukel,Chornomorets Odesa,2000s,core_squad,High,Defender,CB,,,,,,69.9,Relative core_squad rating at the 73% percentile of the same-position group (6 players); confidence=High,8958356,6992_chornomorets_odesa_2000s_8958356
Oleksandr Zotov,oleksandr zotov,Chornomorets Odesa,2000s,core_squad,High,Midfielder,CM,,,,5,15.0,67.8,Relative core_squad rating at the 70% percentile of the overall club-decade pool (25 players); confidence=High; reconstructed statistics were too incomplete for rating,8960761,6992_chornomorets_odesa_2000s_8960761
Oleksandr Zotov,oleksandr zotov,Chornomorets Odesa,2010s,core_squad,High,Midfielder,CM,,,,4,12.0,73.3,Relative core_squad rating at the 70% percentile of the same-position group (7 players); confidence=High; reconstructed statistics were too incomplete for rating,8960761,6992_chornomorets_odesa_2010s_8960761
Oleksiy Hai,oleksiy hai,Chornomorets Odesa,2010s,core_squad,Medium,Midfielder,CM,,,,2,6.0,73.3,Relative core_squad rating at the 70% percentile of the same-position group (7 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8691785,6992_chornomorets_odesa_2010s_8691785
Dmytro Bezotosnyi,dmytro bezotosnyi,Chornomorets Odesa,2010s,core_squad,Medium,Goalkeeper,GK,0,,,4,12.0,70.0,Relative core_squad rating at the 70% percentile of the same-position group (4 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8369233,6992_chornomorets_odesa_2010s_8369233
Oleksandr Didenko,oleksandr didenko,Chornomorets Odesa,2000s,core_squad,Medium,Forward,FW,,,,4,12.0,67.6,Relative core_squad rating at the 67% percentile of the overall club-decade pool (25 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8342846,6992_chornomorets_odesa_2000s_8342846
Oleksandr Didenko,oleksandr didenko,Chornomorets Odesa,2010s,core_squad,Medium,Forward,FW,,,,2,6.0,72.5,Relative core_squad rating at the 67% percentile of the same-position group (9 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8342846,6992_chornomorets_odesa_2010s_8342846
Velizar Dimitrov,velizar dimitrov,Metalurg Donetsk (- 2015),2000s,core_squad,Medium,Midfielder,CM,,,,2,6.0,72.6,Relative core_squad rating at the 67% percentile of the same-position group (8 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8226238,2783_metalurg_donetsk__2015_2000s_8226238
Velizar Dimitrov,velizar dimitrov,Metalurg Donetsk (- 2015),2010s,core_squad,Medium,Midfielder,CM,,,,2,6.0,62.8,Relative core_squad rating at the 67% percentile of the same-position group (3 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8226238,2783_metalurg_donetsk__2015_2010s_8226238
Viktor Gromov,viktor gromov,Kryvbas Kryvyi Rig,1990s,core_squad,High,Defender,CB,,,,,,62.0,Relative core_squad rating at the 70% percentile of the overall club-decade pool (7 players); confidence=High,8835292,3592_kryvbas_kryvyi_rig_1990s_8835292
Viktor Gromov,viktor gromov,Kryvbas Kryvyi Rig,2000s,core_squad,High,Defender,CB,,,,,,68.3,Relative core_squad rating at the 70% percentile of the same-position group (18 players); confidence=High,8835292,3592_kryvbas_kryvyi_rig_2000s_8835292
Oleksandr Zotov,oleksandr zotov,Kryvbas Kryvyi Rig,2000s,core_squad,High,Midfielder,CM,,,,,,63.6,Relative core_squad rating at the 70% percentile of the same-position group (10 players); confidence=High,8960761,3592_kryvbas_kryvyi_rig_2000s_8960761
Ihor Oshchypko,ihor oshchypko,Karpaty Lviv,2000s,core_squad,Medium,Defender,CB,,,,2,6.0,68.2,Relative core_squad rating at the 67% percentile of the same-position group (9 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8557816,2477_karpaty_lviv_2000s_8557816
Ihor Oshchypko,ihor oshchypko,Karpaty Lviv,2010s,core_squad,Medium,Defender,CB,,,,3,9.0,62.6,Relative core_squad rating at the 67% percentile of the same-position group (17 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8557816,2477_karpaty_lviv_2010s_8557816
Andriy Hitchenko,andriy hitchenko,FC Oleksandriya,2010s,core_squad,Medium,Defender,CB,,,,4,12.0,67.0,Relative core_squad rating at the 67% percentile of the same-position group (11 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8822269,18303_fc_oleksandriya_2010s_8822269
Andriy Hitchenko,andriy hitchenko,FC Oleksandriya,2020s,core_squad,Medium,Defender,CB,,,,1,3.0,66.4,Relative core_squad rating at the 67% percentile of the same-position group (15 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8822269,18303_fc_oleksandriya_2020s_8822269
Roman Lytovchak,roman lytovchak,Borysfen Boryspil (- 2007),2000s,core_squad,High,Midfielder,CM,,,,,,68.6,Relative core_squad rating at the 70% percentile of the overall club-decade pool (11 players); confidence=High,8918748,3593_borysfen_boryspil__2007_2000s_8918748
Maksym Stoyan,maksym stoyan,Borysfen Boryspil (- 2007),2000s,core_squad,Medium,Midfielder,CM,,,,,,67.7,Relative core_squad rating at the 67% percentile of the overall club-decade pool (11 players); confidence=Medium,8183978,3593_borysfen_boryspil__2007_2000s_8183978
Volodymyr Avramenko,volodymyr avramenko,Desna Chernigiv,2010s,core_squad,High,Midfielder,CM,,,,,,74.2,Relative core_squad rating at the 70% percentile of the same-position group (3 players); confidence=High,8402999,16239_desna_chernigiv_2010s_8402999
